p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster,spw,spw_count
64.0,30.0,Richard Gasquet,$1.830,Stan Wawrinka,May 27 2013,French Open Slam,Round of 16,Stan Wawrinka,false,41.0,cluster_2,0,0
61.0,29.0,Jerzy Janowicz,$1.396,Stan Wawrinka,May 27 2013,French Open Slam,Round of 32,Stan Wawrinka,false,44.0,cluster_2,0,0
63.0,57.0,Tommy Haas,$2.135,Tommy Haas,May 27 2013,French Open Slam,Round of 16,Mikhail Youzhny,false,51.0,cluster_2,2.02,20
63.0,43.0,Rafael Nadal,$31.008,Rafael Nadal,May 27 2013,French Open Slam,Round of 32,Fabio Fognini,false,84.0,cluster_4,-1.12,5
71.0,39.0,Stan Wawrinka,$3.326,Stan Wawrinka,May 27 2013,French Open Slam,Round of 32,Jerzy Janowicz,false,50.0,cluster_3,-0.22,2
67.0,34.0,Novak Djokovic,$15.130,Novak Djokovic,May 27 2013,French Open Slam,Round of 16,Philipp Kohlschreiber,false,70.0,cluster_0,-0.23,1
67.0,51.0,David Ferrer,$14.400,David Ferrer,May 27 2013,French Open Slam,Round of 32,Feliciano Lopez,false,18.0,cluster_4,0,0
50.0,43.0,Lleyton Hewitt,$1.155,Gilles Simon,May 27 2013,French Open Slam,Round of 128,Gilles Simon,false,3.0,cluster_1,1.38,7
73,52,David Ferrer,$6.153,David Ferrer,Jun 10 2013,French Open Slam,Round of 16,Kevin Anderson,FALSE,12,cluster_4,0.54,6
60,25,Milos Raonic,$2.337,Kevin Anderson,Jun 10 2013,French Open Slam,Round of 32,Kevin Anderson,FALSE,16,cluster_2,-0.41,7
69,41,Tomas Berdych,$3.814,Tomas Berdych,Jun 10 2013,ATP World Tour Masters 1000 Rome,R16,Kevin Anderson,FALSE,20,cluster_4,-0.48,21
72,32,Gael Monfils,$1.252,Gael Monfils,Jun 10 2013,French Open Slam,Round of 128,Tomas Berdych,FALSE,69,cluster_1,0.22,4
70,36,Andy Murray,$4.996,Andy Murray,Jun 10 2013,London / Queen's Club,F,Marin Cilic,FALSE,37,cluster_0,-0.91,9
55,36,Lleyton Hewitt,$1.713,Marin Cilic,Jun 10 2013,London / Queen's Club,S,Marin Cilic,FALSE,38,cluster_1,0,0
70,29,Tomas Berdych,$3.326,Marin Cilic,Jun 10 2013,London / Queen's Club,Q,Marin Cilic,FALSE,39,cluster_0,0.16,2
67,33,Feliciano Lopez,$1.420,Marin Cilic,Jun 10 2013,London / Queen's Club,R16,Marin Cilic,FALSE,40,cluster_0,0.58,5
62.0,40.0,Lleyton Hewitt,$1.431,Lleyton Hewitt,Jun 10 2013,London / Queen's Club,Q,Juan Martin Del Potro,false,1.0,cluster_1,-0.02,1
73.0,41.0,Lleyton Hewitt,$1.484,Lleyton Hewitt,Jun 10 2013,London / Queen's Club,R32,Grigor Dimitrov,false,58.0,cluster_3,-0.02,1
65.0,24.0,Mikhail Youzhny,$1.153,Roger Federer,Jun 10 2013,Halle,F,Roger Federer,false,28.0,cluster_0,0.03,1
63.0,28.0,Tommy Haas,$1.367,Roger Federer,Jun 10 2013,Halle,S,Roger Federer,false,31.0,cluster_0,0.14,2
74.0,39.0,Mikhail Youzhny,$1.559,Mikhail Youzhny,Jun 10 2013,Halle,S,Richard Gasquet,false,48.0,cluster_3,2.81,21
79.0,36.0,Tommy Haas,$2.860,Tommy Haas,Jun 10 2013,Halle,R16,Ernests Gulbis,false,58.0,cluster_2,0.3,14
71.0,36.0,Roger Federer,$3.501,Roger Federer,Jun 10 2013,Halle,S,Tommy Haas,false,55.0,cluster_4,-0.13,2
66.0,24.0,Gael Monfils,$1.426,Tommy Haas,Jun 10 2013,Halle,Q,Tommy Haas,false,56.0,cluster_0,0.78,10
63.0,20.0,Ernests Gulbis,$1.498,Tommy Haas,Jun 10 2013,Halle,R16,Tommy Haas,false,57.0,cluster_0,0.46,9
63.0,44.0,Marin Cilic,$2.308,Marin Cilic,Jun 10 2013,London / Queen's Club,S,Lleyton Hewitt,false,39.0,cluster_2,0.05,1
59.0,37.0,Juan Martin Del Potro,$3.141,Lleyton Hewitt,Jun 10 2013,London / Queen's Club,Q,Lleyton Hewitt,false,40.0,cluster_1,-0.05,3
58.0,26.0,Grigor Dimitrov,$2.912,Lleyton Hewitt,Jun 10 2013,London / Queen's Club,R32,Lleyton Hewitt,false,42.0,cluster_1,-0.01,4
59.0,26.0,Milos Raonic,$2.730,Gael Monfils,Jun 10 2013,Halle,R32,Gael Monfils,false,46.0,cluster_3,-0.07,2
63.0,29.0,Marin Cilic,$1.224,Andy Murray,Jun 10 2013,London / Queen's Club,F,Andy Murray,false,4.0,cluster_2,0.49,7
61.0,30.0,Jo-Wilfried Tsonga,$1.445,Andy Murray,Jun 10 2013,London / Queen's Club,S,Andy Murray,false,5.0,cluster_2,0.4,2
66.0,35.0,Mikhail Youzhny,$1.691,Mikhail Youzhny,Jun 10 2013,Halle,R16,Kei Nishikori,false,29.0,cluster_0,0.42,2
74.0,40.0,Gael Monfils,$1.510,Gael Monfils,Jun 10 2013,Halle,R32,Milos Raonic,false,22.0,cluster_3,-0.12,2
69.0,38.0,Andy Murray,$3.075,Andy Murray,Jun 10 2013,London / Queen's Club,S,Jo-Wilfried Tsonga,false,4.0,cluster_0,-0.12,1
75.0,34.0,Roger Federer,$6.678,Roger Federer,Jun 10 2013,Halle,F,Mikhail Youzhny,false,47.0,cluster_0,0,0
60.0,25.0,Richard Gasquet,$2.662,Mikhail Youzhny,Jun 10 2013,Halle,S,Mikhail Youzhny,false,48.0,cluster_3,-1.77,17
62.0,33.0,Philipp Kohlschreiber,$3.131,Mikhail Youzhny,Jun 10 2013,Halle,Q,Mikhail Youzhny,false,49.0,cluster_0,-0.13,2
65.0,33.0,Kei Nishikori,$2.350,Mikhail Youzhny,Jun 10 2013,Halle,R16,Mikhail Youzhny,false,50.0,cluster_0,0.0,1
66.0,37.0,Mikhail Youzhny,$1.433,Mikhail Youzhny,Jun 10 2013,Halle,Q,Philipp Kohlschreiber,false,42.0,cluster_0,-0.21,2
66.0,32.0,Marin Cilic,$2.810,Marin Cilic,Jun 10 2013,London / Queen's Club,R16,Feliciano Lopez,false,85.0,cluster_0,-0.15,3
74,32,Stan Wawrinka,$3.106,Stan Wawrinka,Jun 16 2013,s-Hertogenbosch,Q,Jeremy Chardy,FALSE,10,cluster_1,-0.7,10
67.0,25.0,Jeremy Chardy,$1.439,Stan Wawrinka,Jun 16 2013,s-Hertogenbosch,Q,Stan Wawrinka,false,32.0,cluster_0,0.1,1
69.0,40.0,Jeremy Chardy,$3.309,Jeremy Chardy,Jun 16 2013,French Open Slam,Round of 64,Roberto Bautista Agut,false,58.0,cluster_0,0,0
55.0,50.0,Gilles Simon,$2.317,Gilles Simon,Jun 17 2013,Eastbourne,S,Andreas Seppi,false,49.0,cluster_4,0,0
78.0,29.0,Feliciano Lopez,$2.279,Feliciano Lopez,Jun 17 2013,Eastbourne,Q,Fernando Verdasco,false,49.0,cluster_3,0.09,2
60.0,27.0,Alexandr Dolgopolov,$5.849,Fernando Verdasco,Jun 17 2013,Eastbourne,R32,Fernando Verdasco,false,51.0,cluster_2,0,0
72.0,40.0,Fernando Verdasco,$1.182,Fernando Verdasco,Jun 17 2013,Eastbourne,R32,Alexandr Dolgopolov,false,4.0,cluster_2,0.09,3
58.0,31.0,Gilles Simon,$1.724,Feliciano Lopez,Jun 17 2013,Eastbourne,F,Feliciano Lopez,false,87.0,cluster_2,0.15,1
70.0,21.0,Fernando Verdasco,$1.729,Feliciano Lopez,Jun 17 2013,Eastbourne,Q,Feliciano Lopez,false,89.0,cluster_1,0.15,1
68.0,42.0,Roger Federer,$14.400,Roger Federer,Jun 17 2013,French Open Slam,Round of 16,Gilles Simon,false,65.0,cluster_3,-1.57,8
64,35,Kevin Anderson,$1.208,Tomas Berdych,Jun 24 2013,Wimbledon Slam,Round of 32,Tomas Berdych,FALSE,63,cluster_4,1.36,18
70,29,Marin Cilic,$1.396,Marin Cilic,Jun 24 2013,London / Queen's Club,Q,Tomas Berdych,FALSE,66,cluster_1,0.19,6
69.0,35.0,Novak Djokovic,$6.625,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Semi Final,Juan Martin del Potro,false,80.0,cluster_4,-0.63,19
60.0,24.0,David Ferrer,$2.135,Juan Martin del Potro,Jun 24 2013,Wimbledon Slam,Quarter Final,Juan Martin del Potro,false,81.0,cluster_3,0.04,1
61.0,28.0,Andreas Seppi,$1.283,Juan Martin del Potro,Jun 24 2013,Wimbledon Slam,Round of 16,Juan Martin del Potro,false,82.0,cluster_3,0.3,1
65.0,31.0,Juan Martin del Potro,$1.155,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Semi Final,Novak Djokovic,false,53.0,cluster_4,0.27,4
61.0,29.0,Tomas Berdych,$1.121,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Quarter Final,Novak Djokovic,false,54.0,cluster_2,0.25,7
53.0,31.0,Tommy Haas,$1.141,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Round of 16,Novak Djokovic,false,57.0,cluster_2,1.74,7
53.0,10.0,Jeremy Chardy,$1.033,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Round of 32,Novak Djokovic,false,58.0,cluster_0,0,0
76.0,40.0,Juan Martin del Potro,$1.823,Juan Martin del Potro,Jun 24 2013,Wimbledon Slam,Quarter Final,David Ferrer,false,50.0,cluster_1,0,0
58.0,32.0,Alexandr Dolgopolov,$1.484,David Ferrer,Jun 24 2013,Wimbledon Slam,Round of 32,David Ferrer,false,52.0,cluster_3,0,0
61.0,34.0,Roberto Bautista Agut,$1.131,David Ferrer,Jun 24 2013,Wimbledon Slam,Round of 64,David Ferrer,false,53.0,cluster_3,0,0
77.0,40.0,Fernando Verdasco,$1.644,Fernando Verdasco,Jun 24 2013,Wimbledon Slam,Round of 32,Ernests Gulbis,false,55.0,cluster_2,0.34,8
63.0,33.0,Jo-Wilfried Tsonga,$4.533,Ernests Gulbis,Jun 24 2013,Wimbledon Slam,Round of 64,Ernests Gulbis,false,56.0,cluster_4,0.04,7
69.0,47.0,Novak Djokovic,$7.120,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Round of 16,Tommy Haas,false,51.0,cluster_1,2.1,9
62.0,27.0,Feliciano Lopez,$1.515,Tommy Haas,Jun 24 2013,Wimbledon Slam,Round of 32,Tommy Haas,false,52.0,cluster_4,0.43,4
58.0,36.0,Stan Wawrinka,$2.380,Lleyton Hewitt,Jun 24 2013,Wimbledon Slam,Round of 128,Lleyton Hewitt,false,38.0,cluster_1,-1.02,11
59.0,25.0,Tommy Robredo,$1.047,Andy Murray,Jun 24 2013,Wimbledon Slam,Round of 32,Andy Murray,false,1.0,cluster_2,0.49,3
52.0,39.0,Novak Djokovic,$2.495,Andy Murray,Jun 24 2013,Wimbledon Slam,Final,Andy Murray,false,78.0,cluster_1,-0.41,8
62.0,26.0,Jerzy Janowicz,$1.216,Andy Murray,Jun 24 2013,Wimbledon Slam,Semi Final,Andy Murray,false,79.0,cluster_2,0.29,10
62.0,30.0,Fernando Verdasco,$1.093,Andy Murray,Jun 24 2013,Wimbledon Slam,Quarter Final,Andy Murray,false,84.0,cluster_2,0.65,4
56.0,34.0,Mikhail Youzhny,$1.077,Andy Murray,Jun 24 2013,Wimbledon Slam,Round of 16,Andy Murray,false,85.0,cluster_1,0.73,5
64.0,40.0,Andreas Seppi,$1.373,Andreas Seppi,Jun 24 2013,Wimbledon Slam,Round of 32,Kei Nishikori,false,21.0,cluster_4,0.41,3
72.0,39.0,Juan Martin del Potro,$4.205,Juan Martin del Potro,Jun 24 2013,Wimbledon Slam,Round of 16,Andreas Seppi,false,45.0,cluster_0,0,0
60.0,36.0,Kei Nishikori,$3.467,Andreas Seppi,Jun 24 2013,Wimbledon Slam,Round of 32,Andreas Seppi,false,46.0,cluster_2,-0.19,2
67.0,37.0,Ernests Gulbis,$1.256,Ernests Gulbis,Jun 24 2013,Wimbledon Slam,Round of 64,Jo-Wilfried Tsonga,false,2.0,cluster_0,0.05,1
70.0,38.0,Andy Murray,$9.817,Andy Murray,Jun 24 2013,Wimbledon Slam,Quarter Final,Fernando Verdasco,false,44.0,cluster_3,0,0
60.0,23.0,Ernests Gulbis,$2.447,Fernando Verdasco,Jun 24 2013,Wimbledon Slam,Round of 32,Fernando Verdasco,false,46.0,cluster_2,0.15,20
64.0,42.0,Lleyton Hewitt,$1.676,Lleyton Hewitt,Jun 24 2013,Wimbledon Slam,Round of 128,Stan Wawrinka,false,28.0,cluster_1,1.2,6
68.0,42.0,David Ferrer,$2.915,David Ferrer,Jun 24 2013,Wimbledon Slam,Round of 32,Alexandr Dolgopolov,false,1.0,cluster_2,-1.09,12
62.0,22.0,Nicolas Almagro,$1.799,Jerzy Janowicz,Jun 24 2013,Wimbledon Slam,Round of 32,Jerzy Janowicz,false,2.0,cluster_0,-0.02,4
74.0,38.0,Andy Murray,$5.145,Andy Murray,Jun 24 2013,Wimbledon Slam,Semi Final,Jerzy Janowicz,false,53.0,cluster_3,1.31,14
73.0,38.0,Tommy Haas,$2.801,Tommy Haas,Jun 24 2013,Wimbledon Slam,Round of 32,Feliciano Lopez,false,1.0,cluster_3,0.24,2
64.0,15.0,Gilles Simon,$1.685,Feliciano Lopez,Jun 24 2013,Wimbledon Slam,Round of 128,Feliciano Lopez,false,15.0,cluster_1,0.93,8
49.0,44.0,Andreas Seppi,$1.708,Gilles Simon,Jun 24 2013,Eastbourne,S,Gilles Simon,false,22.0,cluster_1,-0.31,4
78,38,Jerzy Janowicz,$2.169,Jerzy Janowicz,Jul 8 2013,Wimbledon Slam,Round of 32,Nicolas Almagro,FALSE,87,cluster_1,1.15,6
71,39,Novak Djokovic,$8.023,Novak Djokovic,Jul 8 2013,Wimbledon Slam,Quarter Final,Tomas Berdych,FALSE,61,cluster_4,-0.02,10
68.0,38.0,Fernando Verdasco,$2.178,Fernando Verdasco,Jul 8 2013,Bastad,S,Grigor Dimitrov,false,52.0,cluster_1,-0.16,1
71.0,37.0,Tommy Haas,$2.394,Tommy Haas,Jul 8 2013,Stuttgart,R16,Ernests Gulbis,false,53.0,cluster_2,3.46944695195e-18,18
71.0,41.0,Fabio Fognini,$1.446,Fabio Fognini,Jul 8 2013,Stuttgart,Q,Tommy Haas,false,49.0,cluster_1,0,0
62.0,28.0,Ernests Gulbis,$1.669,Tommy Haas,Jul 8 2013,Stuttgart,R16,Tommy Haas,false,50.0,cluster_4,2.3,23
56.0,32.0,John Isner,$2.188,Lleyton Hewitt,Jul 8 2013,Newport,S,Lleyton Hewitt,false,33.0,cluster_1,-0.05,24
67.0,43.0,Lleyton Hewitt,$1.786,Lleyton Hewitt,Jul 8 2013,Newport,S,John Isner,false,52.0,cluster_2,-0.27,6
75.0,41.0,Andy Murray,$16.054,Andy Murray,Jul 8 2013,Wimbledon Slam,Round of 32,Tommy Robredo,false,45.0,cluster_4,0,0
61.0,31.0,Grigor Dimitrov,$1.792,Fernando Verdasco,Jul 8 2013,Bastad,S,Fernando Verdasco,false,40.0,cluster_2,0.01,1
57.0,39.0,Nicolas Almagro,$2.289,Fernando Verdasco,Jul 8 2013,Bastad,Q,Fernando Verdasco,false,41.0,cluster_0,0.22,3
66.0,39.0,David Ferrer,$7.538,David Ferrer,Jul 8 2013,Wimbledon Slam,Round of 64,Roberto Bautista Agut,false,59.0,cluster_0,0,0
40.0,38.0,Roberto Bautista Agut,$1.421,Fabio Fognini,Jul 8 2013,Stuttgart,S,Fabio Fognini,false,49.0,cluster_3,0,0
58.0,28.0,Tommy Haas,$3.071,Fabio Fognini,Jul 8 2013,Stuttgart,Q,Fabio Fognini,false,50.0,cluster_2,0.25,3
59.0,38.0,Philipp Kohlschreiber,$2.178,Fabio Fognini,Jul 8 2013,Stuttgart,F,Fabio Fognini,false,52.0,cluster_4,0.22,1
61.0,40.0,Fabio Fognini,$1.792,Fabio Fognini,Jul 8 2013,Stuttgart,F,Philipp Kohlschreiber,false,44.0,cluster_4,0,0
56.0,33.0,Gael Monfils,$2.571,Philipp Kohlschreiber,Jul 8 2013,Stuttgart,Q,Philipp Kohlschreiber,false,50.0,cluster_1,0.36,7
60,42,Fernando Verdasco,$1.724,Fernando Verdasco,Jul 15 2013,Bastad,Q,Nicolas Almagro,FALSE,84,cluster_3,0.5,7
65,36,Tomas Berdych,$5.287,Tomas Berdych,Jul 15 2013,Wimbledon Slam,Round of 32,Kevin Anderson,FALSE,87,cluster_1,-1.0,17
60.0,24.0,Feliciano Lopez,$1.513,Ernests Gulbis,Jul 15 2013,ATP World Tour Masters 1000 Canada,R64,Ernests Gulbis,false,51.0,cluster_3,1.31,15
75.0,33.0,Tommy Haas,$3.166,Tommy Haas,Jul 15 2013,Halle,Q,Gael Monfils,false,44.0,cluster_4,-0.2,12
50.0,25.0,Jerzy Janowicz,$1.786,Fernando Verdasco,Jul 15 2013,Hamburg,R16,Fernando Verdasco,false,37.0,cluster_1,-0.37,3
58.0,39.0,Roberto Bautista Agut,$1.550,Fernando Verdasco,Jul 15 2013,Hamburg,R32,Fernando Verdasco,false,38.0,cluster_0,0,0
66.0,44.0,Andy Murray,$11.256,Andy Murray,Jul 15 2013,Wimbledon Slam,Round of 16,Mikhail Youzhny,false,43.0,cluster_2,-0.29,2
61.0,59.0,Fabio Fognini,$3.194,Fabio Fognini,Jul 15 2013,Stuttgart,S,Roberto Bautista Agut,false,41.0,cluster_3,-1.3,28
50.0,33.0,Tommy Haas,$2.571,Fabio Fognini,Jul 15 2013,Hamburg,Q,Fabio Fognini,false,61.0,cluster_3,1.33,11
56.0,36.0,Nicolas Almagro,$2.207,Fabio Fognini,Jul 15 2013,Hamburg,S,Fabio Fognini,false,62.0,cluster_4,0,0
74.0,50.0,Fernando Verdasco,$2.187,Fernando Verdasco,Jul 15 2013,Hamburg,R16,Jerzy Janowicz,false,25.0,cluster_2,0.07,2
70.0,32.0,John Isner,$2.144,John Isner,Jul 22 2013,Atlanta,S,Lleyton Hewitt,false,28.0,cluster_0,0.89,18
75.0,28.0,Kevin Anderson,$1.995,John Isner,Jul 22 2013,Atlanta,F,John Isner,false,48.0,cluster_1,1.14,18
67.0,29.0,Lleyton Hewitt,$1.816,John Isner,Jul 22 2013,Atlanta,S,John Isner,false,49.0,cluster_3,-0.4,6
59.0,38.0,Andreas Seppi,$1.592,Tommy Robredo,Jul 22 2013,Umag,S,Tommy Robredo,false,39.0,cluster_0,-1.04,13
61.0,40.0,Tommy Robredo,$2.571,Tommy Robredo,Jul 22 2013,Umag,S,Andreas Seppi,false,42.0,cluster_0,0.83,12
62.0,40.0,Feliciano Lopez,$1.256,Feliciano Lopez,Jul 22 2013,Gstaad,Q,Stan Wawrinka,false,23.0,cluster_1,0.49,5
52.0,45.0,Gael Monfils,$1.559,Fabio Fognini,Jul 22 2013,Umag,S,Fabio Fognini,false,64.0,cluster_1,-1.56,9
60.0,41.0,Fernando Verdasco,$2.690,Fernando Verdasco,Jul 28 2013,Hamburg,R32,Roberto Bautista Agut,false,55.0,cluster_2,-0.01,1
71,25,John Isner,$1.939,John Isner,Jul 29 2013,Atlanta,F,Kevin Anderson,FALSE,73,cluster_3,-0.76,19
58.0,27.0,John Isner,$1.307,Juan Martin Del Potro,Jul 29 2013,Washington,F,Juan Martin Del Potro,false,75.0,cluster_3,0.1,1
62.0,37.0,Tommy Haas,$1.279,Juan Martin Del Potro,Jul 29 2013,Washington,S,Juan Martin Del Potro,false,76.0,cluster_1,2.26,10
60.0,26.0,Kevin Anderson,$1.315,Juan Martin Del Potro,Jul 29 2013,Washington,Q,Juan Martin Del Potro,false,77.0,cluster_3,2.34,17
75.0,27.0,Tommy Haas,$1.958,Tommy Haas,Jul 29 2013,Washington,Q,Grigor Dimitrov,false,49.0,cluster_0,-0.22,2
72.0,25.0,Grigor Dimitrov,$1.976,Tommy Haas,Jul 29 2013,Washington,Q,Tommy Haas,false,43.0,cluster_4,-0.24,4
66.0,50.0,Fabio Fognini,$1.592,Fabio Fognini,Jul 29 2013,Hamburg,Q,Tommy Haas,false,46.0,cluster_1,-1.22,9
66.0,43.0,Philipp Kohlschreiber,$1.592,Philipp Kohlschreiber,Jul 29 2013,Stuttgart,Q,Gael Monfils,false,41.0,cluster_2,0.69,35
59.0,37.0,Stan Wawrinka,$4.527,Feliciano Lopez,Jul 29 2013,Gstaad,Q,Feliciano Lopez,false,12.0,cluster_2,-0.18,1
75.0,39.0,Ernests Gulbis,$2.808,Ernests Gulbis,Jul 29 2013,ATP World Tour Masters 1000 Canada,R64,Feliciano Lopez,false,13.0,cluster_3,-0.76,8
68.0,41.0,Feliciano Lopez,$2.288,Feliciano Lopez,Jul 29 2013,Eastbourne,F,Gilles Simon,false,15.0,cluster_3,-0.24,5
63,43,Fabio Fognini,$1.773,Fabio Fognini,Aug 5 2013,Hamburg,S,Nicolas Almagro,FALSE,76,cluster_3,0,0
73,39,Juan Martin Del Potro,$3.902,Juan Martin Del Potro,Aug 5 2013,Washington,Q,Kevin Anderson,FALSE,67,cluster_4,-0.42,13
60,31,Alexandr Dolgopolov,$1.300,Tomas Berdych,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Tomas Berdych,FALSE,58,cluster_1,-0.09,1
71,36,Milos Raonic,$4.330,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,Jeremy Chardy,FALSE,81,cluster_3,-0.08,7
64.0,50.0,Milos Raonic,$1.657,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Juan Martin Del Potro,false,74.0,cluster_1,0.25,2
67.0,34.0,Rafael Nadal,$1.453,Rafael Nadal,Aug 5 2013,ATP World Tour Masters 1000 Canada,S,Novak Djokovic,false,44.0,cluster_4,0.52,10
48.0,20.0,Richard Gasquet,$1.150,Novak Djokovic,Aug 5 2013,ATP World Tour Masters 1000 Canada,Q,Novak Djokovic,false,47.0,cluster_3,0.16,1
60.0,40.0,Kei Nishikori,$1.639,Richard Gasquet,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Richard Gasquet,false,42.0,cluster_2,-0.15,1
73.0,34.0,Mikhail Youzhny,$1.623,Mikhail Youzhny,Aug 5 2013,ATP World Tour Masters 1000 Cincinnati,R64,Ernests Gulbis,false,47.0,cluster_2,0.16,10
67.0,33.0,Milos Raonic,$2.357,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,Q,Ernests Gulbis,false,48.0,cluster_2,-0.43,7
57.0,33.0,Andy Murray,$5.658,Ernests Gulbis,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Ernests Gulbis,false,49.0,cluster_4,0.03,2
52.0,45.0,Fabio Fognini,$1.611,Ernests Gulbis,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Ernests Gulbis,false,50.0,cluster_1,0,0
62.0,37.0,Juan Martin Del Potro,$4.247,Juan Martin Del Potro,Aug 5 2013,Washington,S,Tommy Haas,false,42.0,cluster_2,-0.93,11
72.0,41.0,Juan Martin Del Potro,$3.974,Juan Martin Del Potro,Aug 5 2013,Washington,F,John Isner,false,43.0,cluster_2,0,0
66.0,42.0,Ernests Gulbis,$1.190,Ernests Gulbis,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Andy Murray,false,74.0,cluster_3,0,0
52.0,17.0,Milos Raonic,$1.221,Rafael Nadal,Aug 5 2013,ATP World Tour Masters 1000 Canada,F,Rafael Nadal,false,49.0,cluster_0,1.66,7
65.0,32.0,Novak Djokovic,$3.042,Rafael Nadal,Aug 5 2013,ATP World Tour Masters 1000 Canada,S,Rafael Nadal,false,51.0,cluster_2,0.06,4
58.0,34.0,Jerzy Janowicz,$1.171,Rafael Nadal,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Rafael Nadal,false,56.0,cluster_2,0,0
59.0,40.0,Richard Gasquet,$2.457,Richard Gasquet,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Kei Nishikori,false,13.0,cluster_4,0.1,1
57.0,32.0,Andreas Seppi,$1.535,Kei Nishikori,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Kei Nishikori,false,14.0,cluster_4,-1.03,13
67.0,32.0,Ernests Gulbis,$1.687,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,Q,Milos Raonic,false,5.0,cluster_0,0.81,10
50.0,35.0,Juan Martin Del Potro,$2.418,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Milos Raonic,false,6.0,cluster_2,-0.03,1
66.0,16.0,Mikhail Youzhny,$1.700,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Milos Raonic,false,7.0,cluster_4,0.32,4
63.0,28.0,Jeremy Chardy,$1.272,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,Milos Raonic,false,11.0,cluster_0,-0.26,3
67.0,42.0,Kei Nishikori,$2.737,Kei Nishikori,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Andreas Seppi,false,40.0,cluster_0,0.19,14
53.0,38.0,Kevin Anderson,$3.178,Alexandr Dolgopolov,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,Alexandr Dolgopolov,false,89.0,cluster_4,0.09,2
68.0,39.0,Tomas Berdych,$4.032,Tomas Berdych,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Alexandr Dolgopolov,false,90.0,cluster_2,0.01,1
54.0,47.0,Ernests Gulbis,$2.523,Ernests Gulbis,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Fabio Fognini,false,70.0,cluster_1,0.08,1
65.0,41.0,Rafael Nadal,$6.134,Rafael Nadal,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Jerzy Janowicz,false,28.0,cluster_2,-0.08,2
64.0,30.0,Kei Nishikori,$3.151,Feliciano Lopez,Aug 5 2013,ATP World Tour Masters 1000 Cincinnati,R64,Feliciano Lopez,false,44.0,cluster_0,-2.03,14
85.0,36.0,Feliciano Lopez,$2.360,Feliciano Lopez,Aug 5 2013,Wimbledon Slam,Round of 128,Gilles Simon,false,60.0,cluster_0,-1.75,16
61,46,Alexandr Dolgopolov,$1.424,Alexandr Dolgopolov,Aug 12 2013,ATP World Tour Masters 1000 Canada,R64,Kevin Anderson,FALSE,63,cluster_0,0.09,1
65,38,Feliciano Lopez,$2.159,Feliciano Lopez,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R32,Jeremy Chardy,FALSE,76,cluster_3,0.99,21
67.0,33.0,John Isner,$1.472,John Isner,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,S,Juan Martin Del Potro,false,66.0,cluster_4,1.81,13
63.0,39.0,Feliciano Lopez,$1.231,Juan Martin Del Potro,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R16,Juan Martin Del Potro,false,71.0,cluster_1,0.42,3
64.0,39.0,Rafael Nadal,$6.217,Rafael Nadal,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R16,Grigor Dimitrov,false,45.0,cluster_1,-0.47,12
62.0,32.0,Nicolas Almagro,$2.086,Grigor Dimitrov,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,Grigor Dimitrov,false,47.0,cluster_1,0,0
75.0,32.0,John Isner,$1.128,John Isner,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,Q,Novak Djokovic,false,37.0,cluster_4,0.41,6
70.0,34.0,Rafael Nadal,$3.874,Rafael Nadal,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,Q,Roger Federer,false,8.0,cluster_2,0.06,3
